"","Click","variable","value","Click","variable","value"
"291",91,"Late",0.0175507710691526,91,"Late",0.000438534419163292
"292",92,"Late",0.00112522070873927,92,"Late",0.000438525285885088
"293",93,"Late",0.00915638809040753,93,"Late",0.000438521459149682
"294",94,"Late",0.000894528586335873,94,"Late",0.0259515960600427
"295",95,"Late",0.020230151783667,95,"Late",0.000719957904177367
"296",96,"Late",0.0253510661822428,96,"Late",0.0350810938713903
"297",97,"Late",0.271822666080637,97,"Late",0.0396047001155118
"298",98,"Late",0.00678026532748922,98,"Late",0.000887249981336829
"299",99,"Late",0.0195852552485844,99,"Late",0.0260054835086063
"300",100,"Late",0.0115269402752346,100,"Late",0.0383208955813049
