survey_time_spent,survey_user_id,bonus_unclear,bonus_unclear_open,bcq_bonus_received,web_satisf,att_check,att_check_6_TEXT,web_recommend,lk_buy_cellphone,employment_status,employment_status_7_TEXT,gender,Mobile
107,YddSEoVmqbb7PuQeBJ7kBfkLhCUcHd6x,2,,2,5,6,Yes,3,5,1,,2,0
105,YPNWoMKhjztd1a_ukIlgUyuWUAJigIe3,2,,2,6,6,Yes,6,5,3,,2,0
117,8fWFvT2PqfpvkAO4jnk7sVqInvw~KQhA,2,,2,6,6,Yes,5,3,1,,1,0
106,ZnD8qdG44JqUpl979M7r5ZV1.DBiRQOA,2,,2,6,6,Yes,6,2,1,,1,1
103,1kiR~pKJ~Bsj41hd-UWVDGiXoc6man~0,2,,2,6,6,YES,5,6,1,,1,1
81,aW-qdA4UFYloGpJmfWOx1MQpQ89V-PHm,2,,2,7,6,Yes,7,7,1,,2,1
103,TJnFjlxKu8uEiLNlHsw0e5Jy6AjY6ZRA,2,,2,6,6,Yes,6,5,4,,1,0
92,UMR5lUvl9EMC5OIiCLdv6vE0ug~jUjtk,2,,2,6,6,Yes,6,6,2,,1,0
161,75T_t2HQ.Qs-bE1_F4REkW-IAMxQieJE,2,,2,3,6,yes,2,4,7,unpaid carer,2,0
176,'-HkBapLDo0yk_BUMYTQNOTJ-Sn6PaaMj,2,,2,6,6,Yes,5,3,1,,1,0
75,ZlUHXsUIgMM5ZFsSCtAbOfW9-eE3ig8n,2,,2,5,6,Yes,4,6,7,Disabled,1,0
89,OTiCej4WtbLpAHF4XWIPpDSHI6l9BKig,2,,2,6,6,Yes,4,1,3,,2,0
159,hifoiRS6riSTV86.tQhqgAn4F-dUyUWK,2,,2,7,6,Yes,6,5,1,,2,0
141,DJzqWGN8Iy~xKnSNVhQxrfocoyamiw2I,1,Attempting to buy the phone was difficult,1,5,6,YES,6,7,1,,2,1
173,zzGs4oAvSnaJXN5.nZ3zybXMaAc20iR1,2,,2,6,6,Yes,4,6,1,,2,1
99,b6a30YpoQZAHDOL0p9DFb_VOj3Yve9zn,2,,2,6,6,yes,6,2,1,,2,1
132,vyVB~ZgGGoEn8N6wa9cSHSCzLOcA.c~.,2,,2,6,6,Yes,6,7,2,,2,0
142,3uwhymwzVw6dQybOShq3BI3AyicxPX3M,2,,2,3,6,Yes,2,1,1,,2,0
206,_66N8OBIpea5HBvS9w~CKlkqUSFE~ta_,2,,2,7,6,Yes,7,6,1,,2,1
122,w2RPKru0Mr.gsQ9YrLG3mCmoimTYzwzh,2,,2,6,6,Yes,6,5,2,,2,1
152,qc4p8SoUW~tLO.NiE.ycgKtd34PMdLhD,2,,2,7,6,Yes,6,2,7,Raising and homeschooling children,2,0
151,5ilbGmbUlgMPdawqXsenUUjeqaxiIvbC,2,,2,5,6,Yes,5,3,1,,2,0
97,48OXhskZ17OTu36C7SRGroEhd.EyeC92,2,,2,6,6,Yes,6,7,1,,2,0
167,h10E8dutLAoRLQCBqUjbuFEOn18kG0AB,2,,2,5,6,Yes,4,2,1,,1,0
101,ds8kJ17-OPVIU1Y-vYfQxMTZgHzOI0Ne,2,,2,6,6,Yes,6,5,1,,2,0
85,r_5yBqwZl40CChy1.sCcg.ABcRCBkAYX,2,,2,6,6,Yes,5,4,1,,2,0
88,osL7ug9dGrVRo0fFk9644Yogtk1UXSkq,2,,2,5,6,Yes,3,2,7,,2,1
118,TpEH.G-fVC-t3X1ARtMhNBjvT-35kWLV,2,,2,6,6,Yes,6,6,4,,1,0
70,t2l.Ow~q-BAgEj6VyEUZoOFV6vNKTftX,2,,2,6,6,Yes,5,7,1,,1,0
99,w~9pn145ot.PaMMgkGbtSwnDqRhdNZ-3,2,,2,6,6,Yes,7,6,8,,2,0
4443,KQPymsqmA031SOVyiqxDDZgphJDg-i-W,2,,2,7,6,yes,6,1,1,,2,0
61,.MwYCe6cRyxCC-t_LPL.nIWx7WWmgZhz,2,,1,6,6,Yes,4,1,3,,1,0
100,gWq8lmpuUbT09YfGwE-dIdxwPBGrUmuE,2,,2,2,6,Yes,6,3,3,,2,0
67,iK01-uObr1DEafeXEXseE1tKJ-.yWHDY,2,,2,5,6,Yes,5,1,3,,1,0
56,0P44S_3Fl37KWSDcRVCAGw.JGMBBg1RL,2,,2,6,6,Yes,6,2,1,,2,0
84,ZHGObOMlgd_T56~_v.DeoiEOQ9nybj-y,2,,2,6,6,Yes,4,1,8,,1,1
69,qVwJ9ccIGwR81LvVSGgrg-FSWimaHBBz,2,,2,6,6,Yes,7,6,1,,2,0
47,.yAkYskaFx929vzoXWO2-h2AtSYBKrQO,2,,2,4,6,yes,4,3,2,,1,0
96,LbAOQgM7k6-YWUkrFjZhk3Uo3WZKERuC,2,,2,7,6,Yes,6,6,1,,1,0
68,'-rC4hmA3plHRjzbTI0~.V.FQEurByrZf,2,,2,7,6,Yes,6,5,3,,1,0
114,DiWAPB28CTsf~5y2ZVN48h_~ERqtDAdI,1,"There was a lot of instructions, it wasn't clear whether I could win the phone, I didn't know if I should attempt to buy the phone.",3,5,6,Yes,1,2,1,,2,0
71,eQoRs5sLtj0-4HVC_n2_gGA313PnD.Oc,2,,2,6,6,Yes,4,2,3,,1,0
91,ePO4ncH~oUKio4aPBksD2U019EEODhEH,2,,2,7,6,yes,7,6,1,,1,0
75,Wqvq3.~dGbiZIK6C_-aq2MCpDSy5l4h_,1,nothing,2,3,6,Yes,3,5,7,,2,0
79,35U~Fco3ygA6oGukJCgnXSvMWZuSv_Fg,2,,2,5,6,Yes,6,3,3,,1,0
82,yGOAnfWVNFcSrgLAHQZwsTlZbWMjHPta,2,,2,3,6,yes,3,5,1,,2,0
91,.iH-IUhjOE7OLSBFdJOr4vYZXUwfD43o,2,,2,3,6,Yes,1,1,7,Furloughed,2,1
98,ZseBNP36fWbSS_MsC0JyXUJzJCc2a7aO,2,,2,6,6,Yes,5,6,1,,1,0
93,LvzMmMlRusF880JOFjzgqDdrkGakKuMT,2,,3,5,6,Yes,4,6,1,,2,0
71,4RGA20B.u6nbTV6hTWbZhprXlSPBigAB,2,,2,6,6,Yes,5,1,1,,2,1
141,'-43NkmVs6920Map1vlj9tbZN3sgYxSTZ,1,Very wordy,2,6,6,Yes,2,5,1,,1,0
79,fv2JvG2uu1cAv.JWQVRhrIjHyIBn_5Nn,2,,2,5,6,Yes,2,5,1,,2,0
78,3GnsQQUhi7DoH.jmx4o9Mf_jQjLeHVF5,2,,1,5,6,yes,6,5,1,,1,0
130,Nbe1bgq~wXMI6V0CaHVJzJVUKDwY1Pej,2,,2,6,6,yes,6,5,3,,1,0
69,Kx3LTlI3YUbslCR0cWyScnr1LL~izrDE,2,,2,6,6,Yes,5,4,1,,1,0
80,PlxHNjJBGIx8AP9.qQwBgvxxzkrSf2gM,2,,2,6,6,Yes,3,1,1,,2,0
88,MgbtY3_EuK6nluiirJXFcLvFBCvt_~Yt,2,,3,6,6,Yes,4,5,8,,3,0
89,LT_mnE8S3.QQsA8VpLB8lJkBrxLLYHPm,2,,2,5,6,yes,4,6,1,,1,0
98,RmD.MNreYm7v.nmER-TtRDUGx4f4hLOz,2,,2,5,6,Yes,5,1,7,housewife,2,0
69,ABZ-1-91whk06wwXSKz-hMCv6oTPA7-K,2,,3,6,6,Yes,5,7,1,,2,0
