No,U_m2
2883,bea77efeeece7cedd2687c7b24f25cb2
3673,f14fc291e1f9eaf3feb71c796fa684a0
2214,920f4c94106091e979cb16a7f4d269ab
2432,9f8ad4963ef56f0d229a0a5b72aa50d0
2376,9c4fb3ef4d40a6160e5e7f581df412f0
446,1dc9366ae34efb71e74e31544026e54e
1787,75cbc9b9cb72d942cfa960d92f2397d5
1758,742ed3b85fb797174a36d553cd944d9d
1238,509883f2e37e222961f472bec027925d
3424,e2be40ef063a01a7f4609c8e58b78cab
3193,d413fe93e82b485fb3db7128aa3057a1
2774,b7e77513fac89f28449538f8c5d86cf0
3305,db26d6742860c75a414e04e7c5da4734
2218,929511528694e03bf2020e8f82811f50
3799,fbccd73dcd382f292e8614ee47c1c426
2896,c0227ad5cf781d63ed950cfd279517b7
3527,e85c94547b433a487630f5ef151d5116
3161,d1f57633e62c13f7d1f5b462bbd07dd4
2114,8b445a6c1dc5fc3d3df6bb95ad89883d
3593,ecec5396819dcd5b4d084243a50bc7ef
3156,d1aa3aaf7226d811e9f8027734fe9b95
2367,9bc32141695b48390f501b26ff52f9b8
2165,8f56d5a2bd929358cf92e619f6822a7b
2431,9f81ee01d7fa3a1fd3f70269991bdd56
2022,86118e72c7ff49ff5458c67a634b57aa
1297,5478af2e40fce05c1da1a9c0be3b57ba
2129,8ca0f8dd00809f0ed99fa75b70994e11
1023,4209e2087ddbee47a4091672773ff4eb
3207,d4b360d98c1449ab1c8630ac46dcb126
3400,e18c4c313f7bb71273fd6092dd5365fb
93,05c47c0dd2a964463857123256f02a75
386,189cccb6a7a521e22477a0558ea97ef7
2317,98c77aad186e598ba6c72f6c51f7eaa9
3200,d47ff3630951b71a9fadf21050ebef4c
2508,a4cb093e10745cdd2b7daa262946adac
2902,c0879826927c3ca61b8c0c20731ba3d2
2230,935c1dfc34fd9be019a9d6faa11698f8
3127,cfed9930b51e4a74f159b15123a67537
1756,74093c17cf48ac5170b57996cb7bcbcc
2382,9c87eba466fc46ecc0650db2244aa08f
1581,67415759aca2e80963e055d2dc134a9f
1755,74025f173f5b8f00c7411620cff6b569
2699,b1318bfc4de87cc648098781b002de65
2867,bdf6402894ec238d706172d5b7b14c11
960,3e05b7b48b4911d9786ee6a3bc17d2c4
1472,600a12255e6f04862dd4499a53b67dac
173,0ac169ba6648020dcfe0b0611a82d03c
138,08b1e8aaec3c6fcbf61845e8bb4e5580
2326,99250740acd42240d6f74e97fff34205
118,0782380a150ba7ed482b493277079be0
275,1167057709fbd860b476fe642295d68f
3386,e0c6a86426cb8bcdef33f5ed811cee01
3038,c8dbe296e365163fd64ea2b1c295ec8d
650,2b58b834143a7a986998065627fc7349
1190,4d70dd933b37736c9eed4bb68e276080
2342,9a16c96921cd6fdd8f70e1f6e9d04cf8
622,2992b5f7149b693511c150dc8626f2d3
1990,8440e7ead53eafe11bdff3a2250f55ee
553,245d016e18c48fce47f5695a479fef96
2825,bb77388de86bc77dde0e2bb96c42a54d
1699,6fab53faba5b311825c4610b3662ad1b
3063,caf3db658ee072721b55b8c361039493
1048,4356caa9800a04c1c3c9bc9055939673
2095,8a4bfdb397b256275c1f26d193cb3ecd
1042,42e8a1c57d69ca7e7a48cce21bbc6f77
3850,ff663c5038d11d5651f9c678b18dd994
3768,fa2cc70d8f30a68d97b2a916fa2753ff
2052,8806089f36064344ac04b9d3ecd000c4
533,2361d6a74f0a4e56b8e0e1f569f9e9cd
2254,94a6a895956bb76b37f35a33498b14c7
2296,974ce9e66a8e4c8ad954390298af24e2
1395,5b29b6af07410a1b552265a9b54a069c
2346,9a2f51701edc7cf76e082d22cce38055
3000,c6cd83680aa7c24b9dada27a68292665
2404,9e37897ff8d304c07aa5c821e540328f
3466,e4da419672142cf109163aaab5fbd64b
3112,ce7a70a09ceb8d89bbc123b584da0baf
3573,eb6410dd98856e928a8475f373ed31ea
700,2e39f91095874b9b3d0956f666000e9b
1390,5af8468094c95937ba5dea02b4ecc9ce
3284,d9a0736c16d58a54754a4ef6cd49d371
1811,774359ddb4384739308197b84e854fcf
3210,d4c3bbc86e1c79fc96e908f388bcca69
2028,867b22a97f63c368f0a0fa070f15c81f
2857,bd90a21a9e6ff23b7b55f673fb5b7814
952,3d7e3cffd3bcf7be7e1b1c1148ddb3b7
479,1fa659de6f0bcd2fe3c23ab3cef55c86
1137,4988fac9ac059d7c37b0b1318abb415e
1170,4be744a400433233de1ab37668732940
2269,95bbddf2fc9a511475600883dc46623a
1782,758a3551e41ce99857779e33f252dadc
35,02d917f91fcca2e7c07f77707716fece
2424,9f28f87dbc53aa5e60e4b3e881a8339f
841,37bd04057299ddc569566d66e1cbbf8f
1065,44dbd25bc8e8d058a343a552053161a2
1716,70ef57c0a2fe306133d6230472d8b702
3119,cf2a27fe29bb474b0b351f9705cdccf8
2485,a31f74de97cbcd24821a443bee6becff
757,31d57597a650a570f74f5b5f59f53682
126,07e14b24dd9d9ddf7c71c415f4ad6336
2383,9ca96e54887b9d6bd5419d87ce1ff4ea
1317,55a84cc4f71d50cfe39f60c862ba421e
3855,ffacb9f7787491bb372c5a68db154ac3
692,2dec082a6aa896a2a3700711624ac89c
2422,9f1386aec31f0e00aff0fbc47b0ed004
1524,6393406e91df8fc958f979d36530e969
1931,7f66e47b44c80b9e744f6937207395a2
936,3cbe2bba4d9f7f920f7a2c196a18588d
1116,47fc89deb4c127198bdadf7fafc8c78b
3697,f345401b1d8e5ec7a17da904d7cf875f
974,3eaeb7ca68ee5e3eea495308e5d8aa06
1855,79c6634ba394084babb8c127114be034
2813,bab3c8b9dc536d88a832c270e16de556
3349,dedcc4a82197106d1dbeeee4a425c05a
2387,9cdf6104186e0aeb3f99f9dc90ee884c
2264,956126bd884e21423eac71796f8ece49
3,00311b8c780f6ce64e5445bc1ca909c4
3238,d70c53b6f074ebf6a5a404a69336a08d
1108,476f846532d43101b1cb7ca0b95eaca8
1531,63e15e9c356f4c032f86d6acafcf2d42
829,36b9f9bf95264f71803522f5a6bcbf5f
1326,56a01f5709111b0ead9ef4291fb282bd
3495,e670b52cdb8341d9f74cc7daa646fe0b
1949,80c205c9f5460e783c3ccf025cf9ec2a
661,2bedb5f239df71b9e7b42c7ea0bfc632
2855,bd53ff7dad714e416b054275f553a9ef
3194,d41fe35093dfc818d261d3679ddbe3f1
879,3a052769330ef6e32f29f5216d53e339
414,1b3ab0acfc86a5555c6306a769cb7384
2005,851f69886cb1fb1275324c808eff0684
3318,dc62e4dee87b17d30dd43cfef42a4568
1226,4fcc377b06877fada92cec29eb752aa1
2217,92757cc626bf7a61250092d0290c5159
1102,4720c1fe7d9668aca8f12f305c0c989e
3010,c79cf09b1e819f8f19e5a47e47b9f341
2856,bd778787291242ac4653acbb1ffa78b3
777,33327173318bd1c70b77f5b4241a89c4
1489,61299d35928c4ca2fc79309680fa04ab
1441,5e0fb7ad5b94a04ba16abb9e30775e12
